id,premise,hypothesis,expected,predicted,correct,reason,
5,The really ambitious tenors are Italian.,There are really ambitious tenors who are Italian.,yes,yes,1,,
6,No really great tenors are modest.,There are really great tenors who are modest.,no,unknown,0,arithmetic,
7,Some great tenors are Swedish.,There are great tenors who are Swedish.,yes,yes,1,,
8,Many great tenors are German.,There are great tenors who are German.,yes,yes,1,,
9,Several great tenors are British.,There are great tenors who are British.,yes,yes,1,,
10,Most great tenors are Italian.,There are great tenors who are Italian.,yes,yes,1,,
15,At least three tenors will take part in the concert.,There are tenors who will take part in the concert.,yes,yes,1,,
17,An Irishman won the Nobel prize for literature.,An Irishman won a Nobel prize.,yes,yes,1,,
23,Some delegates finished the survey on time.,Some delegates finished the survey.,yes,yes,1,,
24,Many delegates obtained interesting results from the survey.,Many delegates obtained results from the survey.,yes,yes,1,,
25,Several delegates got the results published in major national newspapers.,Several delegates got the results published.,yes,yes,1,,
29,Both commissioners used to be leading businessmen.,Both commissioners used to be businessmen.,yes,yes,1,,
31,At least three commissioners spend a lot of time at home.,At least three commissioners spend time at home.,yes,yes,1,,
38,No delegate finished the report.,Some delegate finished the report on time.,no,no,1,,
46,Neither commissioner spends time at home.,One of the commissioners spends a lot of time at home.,no,unknown,0,skolemization,
48,At most ten commissioners spend time at home.,At most ten commissioners spend a lot of time at home.,yes,unknown,0,downward monotonic,
55,Some Irish delegates finished the survey on time.,Some delegates finished the survey on time.,yes,yes,1,,
57,Several Portuguese delegates got the results published in major national newspapers.,Several delegates got the results published in major national newspapers.,yes,yes,1,,
63,At least three female commissioners spend time at home.,At least three commissioners spend time at home.,yes,yes,1,,
70,No delegate finished the report on time.,Some Scandinavian delegate finished the report on time.,no,no,1,,
76,Few committee members are from southern Europe.,Few female committee members are from southern Europe.,yes,unknown,0,downward monotonic,
80,At most ten commissioners spend time at home.,At most ten female commissioners spend time at home.,yes,unknown,0,downward monotonic,
81,"Smith, Jones and Anderson signed the contract.",Jones signed the contract.,yes,yes,1,,
82,"Smith, Jones and several lawyers signed the contract.",Jones signed the contract.,yes,yes,1,,
84,"Either Smith, Jones or Anderson signed the contract.","If Smith and Anderson did not sign the contract, Jones signed the contract.",yes,unknown,0,production,????
85,Exactly two lawyers and three accountants signed the contract.,Six lawyers signed the contract.,no,unknown,0,arithmetic,
86,Exactly two lawyers and three accountants signed the contract.,Six accountants signed the contract.,no,unknown,0,arithmetic,
87,Every representative and client was at the meeting.,Every representative was at the meeting.,yes,unknown,0,universal quantification with conjunction,
89,Every representative or client was at the meeting.,Every representative and every client was at the meeting.,yes,unknown,0,universal quantification with conjunction,
90,The chairman read out the items on the agenda.,The chairman read out every item on the agenda.,yes,yes,1,,
92,All the people who were at the meeting voted for a new chairman.,Everyone at the meeting voted for a new chairman.,yes,yes,1,,
93,The people who were at the meeting all voted for a new chairman.,Everyone at the meeting voted for a new chairman.,yes,yes,1,,
96,The Ancient Greeks were all noted philosophers.,Every Ancient Greek was a noted philosopher.,yes,yes,1,,
97,Software faults were blamed for the system failure.,The system failure was blamed on one or more software faults.,yes,yes,1,,
100,Clients at the demonstration were impressed by the system's performance.,Most clients at the demonstration were impressed by the system's performance.,yes,unknown,0,?,
105,Just one accountant attended the meeting.,No accountants attended the meeting.,no,unknown,0,skolemization,
106,Just one accountant attended the meeting.,No accountant attended the meeting.,no,no,1,,
109,Just one accountant attended the meeting.,Some accountants attended the meeting.,no,unknown,0,skolemization,
110,Just one accountant attended the meeting.,Some accountant attended the meeting.,yes,yes,1,,
114,Mary used her workstation.,Mary's workstation was used.,yes,yes,1,,
115,Mary used her workstation.,Mary has a workstation.,yes,yes,1,,
116,Mary used her workstation.,Mary is female.,yes,yes,1,,
139,A company director awarded himself a large payrise.,A company director has awarded and been awarded a payrise.,yes,unknown,0,skolemization,
140,John said Bill had hurt himself.,John said Bill had been hurt.,yes,yes,1,,
150,"John went to Paris by car, and Bill by train.",Bill went to Paris by train.,yes,yes,1,,
151,"John went to Paris by car, and Bill by train to Berlin.",Bill went to Berlin by train.,yes,yes,1,,
152,"John went to Paris by car, and Bill to Berlin.",Bill went to Berlin by car.,yes,yes,1,,
153,"John is going to Paris by car, and the students by train.",The students are going to Paris by train.,yes,error,0,complexity,
169,John found Mary before Bill.,John found Mary before Bill found Mary.,yes,yes,1,,
170,John found Mary before Bill.,John found Mary before John found Bill.,yes,yes,1,,
175,"John said Mary wrote a report, and Bill did too.",Bill said Mary wrote a report.,yes,error,0,complexity,
176,"John said Mary wrote a report, and Bill did too.",John said Bill wrote a report.,yes,error,0,complexity/C edge + and,
178,"John wrote a report, and Bill said Peter did too.",Bill said Peter wrote a report.,yes,error,0,complexity,
182,Smith represents his company and so does Jones.,Jones represents Jones' company.,yes,unknown,0,?,
183,Smith represents his company and so does Jones.,Jones represents Smith's company.,yes,unknown,0,shared nodes,
185,Smith claimed he had costed his proposal and so did Jones.,Jones claimed he had costed his own proposal.,yes,error,0,complexity,
186,Smith claimed he had costed his proposal and so did Jones.,Jones claimed he had costed Smith's proposal.,yes,error,0,complexity,
187,Smith claimed he had costed his proposal and so did Jones.,Jones claimed Smith had costed Smith's proposal.,yes,error,0,complexity,
197,John has a genuine diamond.,John has a diamond.,yes,yes,1,,
198,John is a former university student.,John is a university student.,no,unknown,0,non-intersective adjective,
199,John is a successful former university student.,John is successful.,yes,unknown,0,non-intersective adjective,
202,Every mammal is an animal.,Every four-legged mammal is a four-legged animal.,yes,yes,1,,
203,Dumbo is a four-legged animal.,Dumbo is four-legged.,yes,yes,1,,
204,Mickey is a small animal.,Mickey is a large animal.,no,no,1,,
205,Dumbo is a large animal.,Dumbo is a small animal.,no,no,1,,
218,Kim is a clever person.,Kim is clever.,yes,unknown,0,?,
251,ITEL has a factory in Birmingham.,ITEL currently has a factory in Birmingham.,yes,unknown,0,?,
258,In March 1993 APCOM founded ITEL.,ITEL existed in 1992.,no,unknown,0,world knowledge,
278,Smith wrote his first novel in 1991.,Smith wrote his first novel in 1992.,no,unknown,0,temporal knowledge,
279,Smith wrote a novel in 1991.,Smith wrote it in 1992.,no,unknown,0,temporal knowledge,
282,Smith discovered a new species in 1991.,Smith discovered it in 1992.,no,unknown,0,temporal knowledge,
286,Smith wrote a report in two hours.,Smith spent more than two hours writing the report.,no,unknown,0,skolemization,
288,Smith wrote a report in two hours.,Smith wrote a report.,yes,yes,1,,
289,Smith discovered a new species in two hours.,Smith spent two hours discovering the new species.,no,unknown,0,skolemization,
290,Smith discovered a new species in two hours.,Smith discovered a new species.,yes,yes,1,,
291,Smith discovered many new species in two hours.,Smith spent two hours discovering new species.,yes,yes,1,,
294,Smith was running his own business in two years.,Smith ran his own business.,yes,yes,1,,
297,In two years Smith owned a chain of businesses.,Smith owned a chain of business.,yes,yes,1,,
298,Smith lived in Birmingham for two years.,Smith lived in Birmingham for a year.,yes,yes,1,,
