section,subsection,problem_id,fracas_answer,fracas_nonstandard,multiple_p,p,h,a,include,comment,inference_possible,minimal_layers
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,1,yes,,0,An Italian became the world's greatest tenor.,There was an Italian who became the world's greatest tenor.,Yes,0,degree,1,"temp, quant, num, def, degree"
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,2,yes,,1,Every Italian man wants to be a great tenor. Some Italian men are great tenors.,There are Italian men who want to be a great tenor.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,3,yes,,1,All Italian men want to be a great tenor. Some Italian men are great tenors.,There are Italian men who want to be a great tenor.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,4,yes,,1,Each Italian tenor wants to be great. Some Italian tenors are great.,There are Italian tenors who want to be great.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,5,yes,,0,The really ambitious tenors are Italian.,There are really ambitious tenors who are Italian.,Yes,done,,1,"temp, quant, num, def"
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,6,no,,0,No really great tenors are modest.,There are really great tenors who are modest.,No,done,,1,"temp, quant, num, def, neg"
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,7,yes,,0,Some great tenors are Swedish.,There are great tenors who are Swedish.,Yes,done,,1,"temp, quant, num, def"
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,8,yes,,0,Many great tenors are German.,There are great tenors who are German.,Yes,done,many?,1,"temp, quant, num, def"
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,9,yes,,0,Several great tenors are British.,There are great tenors who are British.,Yes,done,several?,1,"temp, quant, num, def"
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,10,yes,,0,Most great tenors are Italian.,There are great tenors who are Italian.,Yes,done,most?,1,"temp, quant, num, def"
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,11,yes,,1,A few great tenors sing popular music. Some great tenors like popular music.,There are great tenors who sing popular music.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,12,undef,TRUE,0,Few great tenors are poor.,There are great tenors who are poor.,Not many,,few limits the amount of tenors. The hypothesis cannot have too many tenors.,?,
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,13,yes,,1,Both leading tenors are excellent. Leading tenors who are excellent are indispensable.,Both leading tenors are indispensable.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,14,no,,1,Neither leading tenor comes cheap. One of the leading tenors is Pavarotti.,Pavarotti is a leading tenor who comes cheap.,No,,,,
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,15,yes,,0,At least three tenors will take part in the concert.,There are tenors who will take part in the concert.,Yes,1,at least?,1,"temp, quant, num, def, mod"
1 GENERALIZED QUANTIFIERS,1.1 Conservativity,16,undef,TRUE,0,At most two tenors will contribute their fees to charity.,There are tenors who will contribute their fees to charity.,At most two,,only yes if hypothesis is exactly 2.,?,
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),17,yes,,0,An Irishman won the Nobel prize for literature.,An Irishman won a Nobel prize.,Yes,done,,1,"temp, quant, num, def"
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),18,yes,,1,Every European has the right to live in Europe. Every European is a person. Every person who has the right to live in Europe can travel freely within Europe.,Every European can travel freely within Europe.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),19,yes,,1,All Europeans have the right to live in Europe. Every European is a person. Every person who has the right to live in Europe can travel freely within Europe.,All Europeans can travel freely within Europe.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),20,yes,,1,Each European has the right to live in Europe. Every European is a person. Every person who has the right to live in Europe can travel freely within Europe.,Each European can travel freely within Europe.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),21,yes,,1,The residents of member states have the right to live in Europe. All residents of member states are individuals. Every individual who has the right to live in Europe can travel freely within Europe.,The residents of member states can travel freely within Europe.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),22,unknown,,0,No delegate finished the report on time.,No delegate finished the report.,Don't know,,"without presupposition: unknown, with presupposition about the report being finished: no",1,
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),23,yes,,0,Some delegates finished the survey on time.,Some delegates finished the survey.,Yes,1,,1,"temp, quant, num, def, mod"
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),24,yes,,0,Many delegates obtained interesting results from the survey.,Many delegates obtained results from the survey.,Yes,done,,1,"temp, quant, num, def"
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),25,yes,,0,Several delegates got the results published in major national newspapers.,Several delegates got the results published.,Yes,1,two events?,1,"temp, quant, num, def, loc"
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),26,yes,,1,Most Europeans are resident in Europe. All Europeans are people. All people who are resident in Europe can travel freely within Europe.,Most Europeans can travel freely within Europe.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),27,yes,,1,A few committee members are from Sweden. All committee members are people. All people who are from Sweden are from Scandinavia.,At least a few committee members are from Scandinavia.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),28,unknown,,1,Few committee members are from Portugal. All committee members are people. All people who are from Portugal are from southern Europe.,There are few committee members from southern Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),29,yes,,0,Both commissioners used to be leading businessmen.,Both commissioners used to be businessmen.,Yes,1,both?,1,"temp, quant, num, def"
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),30,unknown,,0,Neither commissioner spends a lot of time at home.,Neither commissioner spends time at home.,Don't know,,"without presupposition: unknown, with presupposition about spending time at home: no",1,
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),31,yes,,0,At least three commissioners spend a lot of time at home.,At least three commissioners spend time at home.,Yes,1,at least?,1,"temp, quant, num, def, loc"
1 GENERALIZED QUANTIFIERS,1.2 Monotonicity (upwards on second argument),32,unknown,,0,At most ten commissioners spend a lot of time at home.,At most ten commissioners spend time at home.,Don't know,,,?,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),33,unknown,,0,An Irishman won a Nobel prize.,An Irishman won the Nobel prize for literature.,Don't know,,if nobel prize is for literature: yes; ow: no => unknown,?,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),34,unknown,,1,Every European can travel freely within Europe. Every European is a person. Every person who has the right to live in Europe can travel freely within Europe.,Every European has the right to live in Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),35,unknown,,1,All Europeans can travel freely within Europe. Every European is a person. Every person who has the right to live in Europe can travel freely within Europe.,All Europeans have the right to live in Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),36,unknown,,1,Each European can travel freely within Europe. Every European is a person. Every person who has the right to live in Europe can travel freely within Europe.,Each European has the right to live in Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),37,unknown,,1,The residents of member states can travel freely within Europe. All residents of member states are individuals. Every individual who has the right to live anywhere in Europe can travel freely within Europe.,The residents of member states have the right to live anywhere in Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),38,no,,0,No delegate finished the report.,Some delegate finished the report on time.,No,1,,1,"temp, quant, num, def, neg, manner"
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),39,unknown,,0,Some delegates finished the survey.,Some delegates finished the survey on time.,Don't know,,no sure how to syntactically show the inference,?,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),40,unknown,,0,Many delegates obtained results from the survey.,Many delegates obtained interesting results from the survey.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),41,unknown,,0,Several delegates got the results published.,Several delegates got the results published in major national newspapers.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),42,unknown,,1,Most Europeans can travel freely within Europe. All Europeans are people. All people who are resident in Europe can travel freely within Europe.,Most Europeans are resident in Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),43,unknown,,1,A few committee members are from Scandinavia. All committee members are people. All people who are from Sweden are from Scandinavia.,At least a few committee members are from Sweden.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),44,yes,,1,Few committee members are from southern Europe. All committee members are people. All people who are from Portugal are from southern Europe.,There are few committee members from Portugal.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),45,unknown,,0,Both commissioners used to be businessmen.,Both commissioners used to be leading businessmen.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),46,no,,0,Neither commissioner spends time at home.,One of the commissioners spends a lot of time at home.,No,1,,1,"temp, quant, num, def, neg, loc"
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),47,unknown,,0,At least three commissioners spend time at home.,At least three commissioners spend a lot of time at home.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.3 Monotonicity (downwards on second argument),48,yes,,0,At most ten commissioners spend time at home.,At most ten commissioners spend a lot of time at home.,Yes,1,,1,"temp, quant, num, def, loc"
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),49,yes,,1,A Swede won a Nobel prize. Every Swede is a Scandinavian.,A Scandinavian won a Nobel prize.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),50,unknown,,1,Every Canadian resident can travel freely within Europe. Every Canadian resident is a resident of the North American continent.,Every resident of the North American continent can travel freely within Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),51,unknown,,1,All Canadian residents can travel freely within Europe. Every Canadian resident is a resident of the North American continent.,All residents of the North American continent can travel freely within Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),52,unknown,,1,Each Canadian resident can travel freely within Europe. Every Canadian resident is a resident of the North American continent.,Each resident of the North American continent can travel freely within Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),53,unknown,,1,The residents of major western countries can travel freely within Europe. All residents of major western countries are residents of western countries.,The residents of western countries have the right to live in Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),54,unknown,,0,No Scandinavian delegate finished the report on time.,Some delegate finished the report on time.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),55,yes,,0,Some Irish delegates finished the survey on time.,Some delegates finished the survey on time.,Yes,1,,1,"temp, quant, num, def, manner"
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),56,unknown,,0,Many British delegates obtained interesting results from the survey.,Many delegates obtained interesting results from the survey.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),57,yes,,0,Several Portuguese delegates got the results published in major national newspapers.,Several delegates got the results published in major national newspapers.,Yes,1,several?,1,"temp, quant, num, def, loc"
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),58,unknown,,0,Most Europeans who are resident in Europe can travel freely within Europe.,Most Europeans can travel freely within Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),59,yes,,0,A few female committee members are from Scandinavia.,At least a few committee members are from Scandinavia.,Yes,1,generalized quantifier,1,"temp, quant, num, def, mod"
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),60,unknown,,0,Few female committee members are from southern Europe.,Few committee members are from southern Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),61,undef,TRUE,0,Both female commissioners used to be in business.,Both commissioners used to be in business.,"Yes, if both commissioners are female; otherwise there are more than two commissioners.",,,,
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),62,undef,TRUE,0,Neither female commissioner spends a lot of time at home.,One of the commissioners spends a lot of time at home.,"No, if both commissioners are female; otherwise there are more than two commissioners.",,,,
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),63,yes,,0,At least three female commissioners spend time at home.,At least three commissioners spend time at home.,Yes,1,at least?,1,"temp, quant, num, def, loc"
1 GENERALIZED QUANTIFIERS,1.4 Monotonicity (upwards on first argument),64,unknown,,0,At most ten female commissioners spend time at home.,At most ten commissioners spend time at home.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),65,unknown,,1,A Scandinavian won a Nobel prize. Every Swede is a Scandinavian.,A Swede won a Nobel prize.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),66,yes,,1,Every resident of the North American continent can travel freely within Europe. Every Canadian resident is a resident of the North American continent.,Every Canadian resident can travel freely within Europe.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),67,yes,,1,All residents of the North American continent can travel freely within Europe. Every Canadian resident is a resident of the North American continent.,All Canadian residents can travel freely within Europe.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),68,yes,,1,Each resident of the North American continent can travel freely within Europe. Every Canadian resident is a resident of the North American continent.,Each Canadian resident can travel freely within Europe.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),69,yes,,1,The residents of western countries can travel freely within Europe. All residents of major western countries are residents of western countries.,The residents of major western countries have the right to live in Europe.,Yes,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),70,no,,0,No delegate finished the report on time.,Some Scandinavian delegate finished the report on time.,No,1,,1,"temp, quant, num, def, neg, manner"
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),71,unknown,,0,Some delegates finished the survey on time.,Some Irish delegates finished the survey on time.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),72,unknown,,0,Many delegates obtained interesting results from the survey.,Many British delegates obtained interesting results from the survey.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),73,unknown,,0,Several delegates got the results published in major national newspapers.,Several Portuguese delegates got the results published in major national newspapers.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),74,unknown,,0,Most Europeans can travel freely within Europe.,Most Europeans who are resident outside Europe can travel freely within Europe.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),75,unknown,,0,A few committee members are from Scandinavia.,At least a few female committee members are from Scandinavia.,Don't know,,,,
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),76,yes,,0,Few committee members are from southern Europe.,Few female committee members are from southern Europe.,Yes,done,generalized quantifier,1,"temp, quant, num, def"
1 GENERALIZED QUANTIFIERS,1.5 Monotonicity (downwards on first argument),77,undef,TRUE,0,Both commissioners used to be in business.,Both female commissioners used to be in business.,"Yes, if both commissioners are female; otherwise there are more than two commissioners.",,,,
